sku,order_count,weighted_order_count,degree,weighted_degree
108120702,2,0.6368534284929279,5,0.6424124112969505
108127120,1,0.32124595561656505,0,0.0
1081546-GD,6,1.8595962357263403,23,6.788121446602818
1081546-RB,6,1.8595962357263403,23,6.788121446602818
108155536,1,0.0004576329746964751,0,0.0
108155538,1,0.12068039163457613,0,0.0
108174322-MV,1,0.1260093524550019,3,2.2490708988215844
108174322-PI,1,0.34174707616449435,0,0.0
108182714,3,0.34416180444179656,28,11.333435095881502
108187044,2,0.11344044628079719,16,9.821326458819344
108187101,1,0.005268712219589379,14,11.456065223478369
108187120,1,0.006186327202435391,11,5.260903846289282
108187130,1,0.48603903996438924,1,0.7062293906892755
108201738,2,0.0058646493180223806,0,0.0
108201744,1,0.024356533560001403,1,1.0
108201910,1,0.024356533560001403,1,1.0
108215679,5,0.5620526127541632,7,1.48319853874228
108215680,4,1.2544572199608002,13,1.1686515506931645
108517010,4,0.08048572427359801,17,3.7383511173767814
108517011,3,0.11349801772178811,24,10.303620853218854
108517012,1,0.006882734472216613,5,1.8834008985868276
108554201,1,0.0015055465882183431,2,1.5046803547097407
108583213,4,0.59865666609805,6,0.42780624018376273
109-14006,6,0.0983687314643098,10,1.4041467432072403
109-260001,2,0.00018677530069976356,2,0.4835187660220393
109-54007RB,2,0.0006416928842635422,3,0.8371316002943232
109-58001,1,0.001949894858675574,1,1.0
109-59201,4,0.0011573666663252029,6,1.2537709741461183
109-59302,1,0.0001239717072089538,1,0.5698841202602787
109-59401,1,0.00018416255297924595,0,0.0
109-59701,1,0.0004402686841039486,2,1.2266900912189618
1090-08081,2,0.013822028410924336,10,3.8667760269273193
1090-08082,3,0.0010560390364218967,22,9.252568040325201
109280150-PI,1,0.07944938566086744,0,0.0
109280150-RE,2,0.4704742538744221,1,0.4382093627987413
109280150-WH,2,1.3236431337305703,0,0.0
109281004-RE,1,0.013606039860539964,2,0.754060199592585
11-153,2,0.01996066310974437,10,3.208513922367845
11-50080,1,0.004807007280221655,8,5.61135952195984
11-50808,1,0.9876664780940517,1,0.9660357377548179
11-50952,1,0.0044955473653715316,2,1.0784601784398364
11-52126R,2,0.0012384650117210246,2,0.5942975708365406
11-52808,1,0.0001894237015959875,1,0.391498787358329
11-52907,1,0.0010338007477222481,2,0.43606922866385484
110-3068Z,2,0.0006775255483734202,1,0.7058697970272106
110-3099Z,1,0.00014162143515057552,0,0.0
110-BX1310Z,1,0.00029306245370032066,1,0.48665098145256447
110044,1,0.725075118593795,5,5.0
110228,1,0.29611830279331935,2,1.293877632658608
110297,2,0.5494401567101268,1,0.391742433047326
111058,1,0.09290254089772224,0,0.0
111272942,1,0.07911649457285024,4,2.8053533431376434
111368973,2,0.6527996056213148,1,0.3243059093188881
112925,1,0.08809944639866023,2,0.675696650035957
114945341,1,0.0020349053974180794,1,1.0
114945358,1,0.0020349053974180794,1,1.0
114951519-BU,1,0.09118669251131364,2,2.0
114951519-GN,1,0.09118669251131364,2,2.0
114951519-YE,1,0.09118669251131364,2,2.0
1171.6503.51,1,0.14377064853883909,0,0.0
1171.7703.01,2,0.3030130418800826,1,0.5656463270640977
1171.7703.02,2,0.2872806586855251,1,0.5656463270640977
1171.7703.04,2,0.23748420802645542,0,0.0
118261,1,0.07431803340787062,12,9.57542112654513
118263,1,0.07431803340787062,12,9.57542112654513
119001120,1,0.010601848701070464,0,0.0
1200-30300,3,0.0005540544543359272,1,0.409069121142133
1214030009,1,0.6998298847147499,0,0.0
12305891,1,0.308255170414549,0,0.0
12306255,1,0.8207945743925987,1,0.6920284033170858
12306377,2,1.1648828562608788,7,4.463459362351694
12307479,2,0.0009737307270049152,3,1.1020549332807772
12308668,1,0.005268712219589379,14,11.456065223478369
12308848,1,0.00012972335027423078,1,1.0
12309022,1,0.00012972335027423078,1,1.0
12309255,2,0.0003827428177670721,0,0.0
12309461,1,0.07431803340787062,12,9.57542112654513
12309710,1,0.004974501417269764,2,0.8033526939908451
12310086,1,0.0005849606384733248,0,0.0
12310098,1,0.0004969541195233993,7,4.068211978980469
12310114,1,0.0004756682208032311,4,1.5328369624718714
124-0560,1,0.4440217675152182,0,0.0
126003000,1,0.806487560929738,0,0.0
128275-113,1,0.0006317762540647997,5,5.0
128275-116,1,0.0006317762540647997,5,5.0
128275-126,1,0.0006317762540647997,5,5.0
128275-129,1,0.0006317762540647997,5,5.0
128275-144,1,0.0006317762540647997,5,5.0
128275-155,1,0.0006317762540647997,5,5.0
128568012,1,0.0105660379547062,2,0.9417653264646222
128641041,1,0.00705666020297016,2,1.0704065181429674
128653046,1,0.012612253726343154,5,3.7056903323234613
133008001,1,0.012318803804361657,8,5.943213527842432
133010018,2,0.004982249255175885,1,0.2662767132203051
133012000,2,1.4342845656143057,2,0.7276301914944584
133012100,1,0.47391819800991153,4,3.5049850776328086
133421730,2,0.17031980756146664,9,5.985532994642972
139000072,1,0.0012036788378700354,0,0.0
139125700,7,0.10708160949792692,29,10.690787926558649
139158100,4,0.023647182338917223,18,5.819151282992182
139158200,4,0.1413969812588935,16,2.525831777300396
14-70359,2,0.11892708579956521,5,0.8154769549508869
140-2444,1,0.00043104928159147114,3,2.404363411958528
140-2538,1,0.0003507515477085602,2,0.9514029026199786
140-301256,1,0.00029200824025383886,0,0.0
140-302212,1,0.0004969541195233993,7,4.068211978980469
140-302536,1,0.0006919794890675379,8,4.786190045758705
140-303537,1,0.001839969505409357,0,0.0
140-305780,1,0.002966896922056862,0,0.0
140-3283,1,0.00018329268120102302,0,0.0
140-4533,1,0.0007166759253824757,0,0.0
140-4981,1,0.00011334472870185128,0,0.0
140-5855,1,0.00671749595482946,0,0.0
142-SD04,2,0.0003880354236963971,6,3.3997017256486264
142-SD08,3,0.0007261944908417223,18,10.56636609008722
154626,2,1.2559114907787619,8,6.3411382225699775
154639,3,1.9512571469431326,8,4.403597903156985
154647,2,1.2559114907787619,8,6.3411382225699775
154661,3,1.8466615944017866,8,6.322780900805773
154673,1,0.6607990740851812,8,5.548436792287811
154678,2,1.2559114907787619,8,6.3411382225699775
155-1020Y,1,0.00044426764450331555,1,0.4233896038546474
155-1050R,1,0.00016593094950430743,1,1.0
155-1050T,1,0.00016593094950430743,1,1.0
155-5011E,1,0.00019042274030690867,2,1.0981489752395108
155-8091,1,6.502784852991643e-05,0,0.0
158-0055,1,0.0004524440439455849,2,1.8449585270293931
158-1021,2,0.0011920345022736162,1,0.7178807025032606
158-1022,1,0.0003314326689781007,0,0.0
158-4050,1,0.0002789631699466079,0,0.0
159-13982,3,0.0010592574997681655,3,1.627778893230077
