weight_copurchase,weight_product2vec,weight_metadata,weight_text,k,candidate_k,evaluated_queries,precision_at_k,recall_at_k,hit_rate_at_k,mrr_at_k,candidate_recall,catalog_coverage_at_k
0.2,0.4,0.1,0.3,10.0,100.0,76.0,0.039473684210526314,0.39473684210526316,0.39473684210526316,0.20180137844611531,0.5131578947368421,0.10423181154888472
0.4,0.2,0.2,0.2,10.0,100.0,76.0,0.039473684210526314,0.39473684210526316,0.39473684210526316,0.2016969507101086,0.5526315789473685,0.10881801125703565
0.3,0.2,0.3,0.2,10.0,100.0,76.0,0.039473684210526314,0.39473684210526316,0.39473684210526316,0.19968671679197994,0.5657894736842105,0.10860954763393788
0.3,0.1,0.1,0.5,10.0,100.0,76.0,0.039473684210526314,0.39473684210526316,0.39473684210526316,0.19794799498746868,0.5526315789473685,0.10735876589535126
0.2,0.1,0.2,0.5,10.0,100.0,76.0,0.039473684210526314,0.39473684210526316,0.39473684210526316,0.19641290726817046,0.5789473684210527,0.10652491140296018
0.5,0.1,0.2,0.2,10.0,100.0,76.0,0.039473684210526314,0.39473684210526316,0.39473684210526316,0.19530075187969925,0.5921052631578947,0.10860954763393788
0.7,0.1,0.1,0.1,10.0,100.0,76.0,0.039473684210526314,0.39473684210526316,0.39473684210526316,0.19511800334168755,0.5526315789473685,0.10902647488013342
0.2,0.4,0.2,0.2,10.0,100.0,76.0,0.039473684210526314,0.39473684210526316,0.39473684210526316,0.19466374269005848,0.5263157894736842,0.10569105691056911
0.6,0.1,0.2,0.1,10.0,100.0,76.0,0.039473684210526314,0.39473684210526316,0.39473684210526316,0.1944392230576441,0.5921052631578947,0.10860954763393788
0.4,0.3,0.1,0.2,10.0,100.0,76.0,0.039473684210526314,0.39473684210526316,0.39473684210526316,0.19261173767752715,0.5131578947368421,0.1050656660412758
0.5,0.2,0.2,0.1,10.0,100.0,76.0,0.039473684210526314,0.39473684210526316,0.39473684210526316,0.1912437343358396,0.5526315789473685,0.10798415676464457
0.6,0.2,0.1,0.1,10.0,100.0,76.0,0.039473684210526314,0.39473684210526316,0.39473684210526316,0.18589181286549708,0.5263157894736842,0.10548259328747134
0.4,0.3,0.2,0.1,10.0,100.0,76.0,0.039473684210526314,0.39473684210526316,0.39473684210526316,0.18347431077694237,0.5394736842105263,0.10589952053366687
0.3,0.1,0.3,0.3,10.0,100.0,76.0,0.039473684210526314,0.39473684210526316,0.39473684210526316,0.18302005012531328,0.5921052631578947,0.10840108401084012
0.2,0.3,0.3,0.2,10.0,100.0,76.0,0.039473684210526314,0.39473684210526316,0.39473684210526316,0.1828373015873016,0.5526315789473685,0.10715030227225349
0.1,0.4,0.1,0.4,10.0,100.0,76.0,0.039473684210526314,0.39473684210526316,0.39473684210526316,0.17704156223893067,0.5131578947368421,0.10548259328747134
0.2,0.1,0.3,0.4,10.0,100.0,76.0,0.039473684210526314,0.39473684210526316,0.39473684210526316,0.1760547201336675,0.5921052631578947,0.10819262038774234
0.2,0.2,0.3,0.3,10.0,100.0,76.0,0.039473684210526314,0.39473684210526316,0.39473684210526316,0.17600250626566416,0.5657894736842105,0.10881801125703565
