model,order_id,seed_sku,target_sku,held_out_basket_size,target_train_orders,popularity_segment,target_rank,hit_at_k,reciprocal_rank_at_k,target_in_candidates,target_in_retrieved_pool,retrieved_candidate_count,top_prediction,top_k_skus
fixed_40_10_10_40,52849,UGD010249,KON949061,2,3,medium,4,1,0.25,1,1,1194,UGD010250,UGD010250 | UGD010069 | UGD010255 | KON949061 | UGD010258 | UGD010256 | UGD010259 | UGD010253 | UGD010260 | UGD010251
fixed_40_10_10_40,52854,GRG62,GFV21,2,2,rare,60,0,0.0,1,1,1298,GJP59,GJP59 | GRG73 | HJR81 | HJR70 | GXX19 | GPB30 | GJP71 | GJN69 | LEG201992 | FCV70
fixed_40_10_10_40,52915,UGD010001,UGD010249,2,1,rare,12,0,0.0,1,1,1292,UGD010819,UGD010819 | UGD010793 | UGD011094 | UGD010069 | UGD010070 | UGD010805 | UGD010255 | UGD010894 | UGD010256 | UGD010258
fixed_40_10_10_40,52944,9786180138566,ΜΕΤ82270,2,1,rare,307,0,0.0,0,1,1230,ΜΙΝ14231,ΜΙΝ14231 | ΜΙΝ32024 | ΜΕΤ82803 | ΜΕΤ81240 | ΜΙΝ14234 | 9789605935160 | ΜΕΤ80849 | 9789604536061 | 9786180120189 | 9786180120172
fixed_40_10_10_40,52946,DTPMI3647,DT89374Y,2,1,rare,2,1,0.5,1,1,1286,MCF10727-2,MCF10727-2 | DT89374Y | 819-67410 | DT70440121 | DTFNT0072 | 1023-63021 | EN69751 | MCF10721-0 | MCF10723-4 | MCF10616-9
fixed_40_10_10_40,52948,KON949658,KON165423,2,1,rare,53,0,0.0,1,1,1234,KON949801,KON949801 | KON942468 | UGD010069 | KON843864 | KON949061 | KON746837tn | KON746837mm | KON740958 | KON747032 | KON169490
fixed_40_10_10_40,52973,KON165423,KON161753,2,1,rare,33,0,0.0,1,1,1216,KON169490,KON169490 | KON948767 | KON949801 | KON945940 | KON742631 | KON946558 | KON848098 | ΚΟΝ543153 | KON644676 | KON943663
fixed_40_10_10_40,52979,0621465,GXC95,2,1,rare,0,0,0.0,0,0,1303,EN062071,EN062071 | 176-08553 | 176-01680 | SX.20.290.0138 | 819-07311 | Z163221 | 140-302212 | 176-08497 | 05-21436 | ΚΑ113899
fixed_40_10_10_40,52986,HLW71,HPG69,5,1,rare,7,1,0.14285714285714285,1,1,1304,HLW76,HLW76 | HLW78 | HLW80 | HLW81 | HLW73 | HLW70 | HPG69 | HMB69 | DT-4568-T | HLW00-lampada
fixed_40_10_10_40,53014,IT16951,IT16952,2,46,popular,1,1,1.0,1,1,1309,IT16952,IT16952 | IT11214 | EN087229 | IT8905 | 237.617073 | IT9003 | IT09430 | IT11207 | IT91164 | IT6105
fixed_40_10_10_40,53069,771-15727,771-81391,2,1,rare,7,1,0.14285714285714285,1,1,1203,1090-08081,1090-08081 | 0562870 | 771-80627 | 777-51427 | 772-16527 | DT-4568-T | 771-81391 | 1090-08082 | 340-72413 | 571-46265
fixed_40_10_10_40,53073,IT16951,IT16952,2,46,popular,1,1,1.0,1,1,1309,IT16952,IT16952 | IT11214 | EN087229 | IT8905 | 237.617073 | IT9003 | IT09430 | IT11207 | IT91164 | IT6105
fixed_40_10_10_40,53082,819-04230,819-94840,2,2,rare,1,1,1.0,1,1,1306,819-94840,819-94840 | 819-95270 | 819-94850 | 819-25490 | 819-99590 | 819-63670 | 819-03510 | 819-63670-lampada | 819-28530 | EN69751
fixed_40_10_10_40,53117,21302XS-BU,21095,2,2,rare,37,0,0.0,1,1,990,21300L-PI,21300L-PI | 422104 | 21302XS-BUW | 21302XS-PI | 21302XS-BK | 21302XS-GN | 21302XS-PIW | 21302XS-OR | 21302XS-PG | 21302XS-BW
fixed_40_10_10_40,53119,6061,DTTT18424A,3,2,rare,9,1,0.1111111111111111,1,1,1256,0621617,0621617 | 4-04920 | IT11214 | RX1800-20 | 29.288-5 | 29.7215K | IT11227 | HD-8913-BU | DTTT18424A | IT00007466
fixed_40_10_10_40,53127,Oo49109,75676,3,3,medium,744,0,0.0,0,1,1306,Oo49110,Oo49110 | MS0502ry | Oo49112 | 29.0376a | Oo49107 | Oo49113 | DLK58 | 29.0376-ERROR | TB120392 | 29.2981-82
fixed_40_10_10_40,53149,341-41413,0621966,2,4,medium,399,0,0.0,0,1,1235,337-70413,337-70413 | 340-72413 | 341-43413 | 346-01413 | 341-58581 | 0562533 | Μ1-0-008 | 557-25235 | 346-02416 | 0562081
fixed_40_10_10_40,53191,MAP834013,MAP936010,2,2,rare,238,0,0.0,0,1,1323,MAP862812,MAP862812 | MAP846020 | MAP846222 | MAP845720 | MAP861311 | 12309710 | POL14298 | MAP832812 | KON843376-d | MAP851722
fixed_40_10_10_40,53209,N3242,IT16951,2,138,popular,0,0,0.0,0,0,1303,54886,54886 | DTTT21527A | DTTT21528A | DTJH26108 | FWV08 | GMD08 | GMD06 | 18/32083 | DCH13 | L67936
fixed_40_10_10_40,53267,ΜΕΤ83171,ΜΕΤ82541,2,2,rare,30,0,0.0,1,1,1268,9789605935849,9789605935849 | ΜΕΤ81837 | 9789605935382 | ΜΙΝ11188 | ΜΕΤ82327 | ΜΕΤ83170 | ΜΕΤ81351 | ΜΙΝ14231 | 0621489 | ΜΕΤ82942
fixed_40_10_10_40,53274,lr11777,16/85109,2,2,rare,35,0,0.0,1,1,1273,IT93504,IT93504 | GJF68 | lr10944 | GTF89 | HGB91 | 176-09823 | EN69743 | 176-06202 | lr10525 | 0622048
logistic_ranker,52243,29.0376-ERROR,ΙΤ17253,2,1,rare,0,0,0.0,0,0,1269,DT760018963,DT760018963 | S616400 | FTC66 | FXC66 | FGJ11 | GFX87 | W4472 | 1000-14504 | DKK08 | ΜΙΝ04118
logistic_ranker,52257,IT005071,FVF42,2,1,rare,0,0,0.0,0,0,1264,DT760018963,DT760018963 | MS0503LyPM-07 | 4-05967 | EN081819 | MAP861311 | DTDCL-9350-2 | ΜΙΝ04118 | HKI-9366-RE | GNY95 | 39848-PB
logistic_ranker,52260,IT16951,IT16952,2,46,popular,13,0,0.0,1,1,1309,DT760018963,DT760018963 | ΙΤ17253 | 176-09057 | IT9204 | 262-3002 | GNY95 | UGD010596 | MS0503LyPM-07 | MS0301Ryabinka | 0562691
logistic_ranker,52276,0562690,4M0138,2,1,rare,0,0,0.0,0,0,1310,EN093013,EN093013 | EN093012 | LT-006 | IT16951 | IT90147 | 183-82107 | UGD010586 | 338-26031 | 348-17220 | SUS2316
logistic_ranker,52280,4-05461-03,4-05461-01,2,3,medium,786,0,0.0,0,1,1295,DT760018963,DT760018963 | MAP861311 | 348-17220 | 343-02144 | IT14185 | 585182-MV | 0584711-GN | 0570926 | 333-05141 | NC5503
logistic_ranker,52308,IT19764,MS0502bw-06,3,4,medium,242,0,0.0,0,1,1265,LT-006,LT-006 | NQD4WD06-RED | IT16951 | IT90147 | GYJ04 | DT10757 | UGD010069 | GJK40 | HKI-9295-BU | EN081819
logistic_ranker,52310,FXC66,HGB91,2,1,rare,446,0,0.0,0,1,1311,DT760018963,DT760018963 | NQD4WD06-RED | FTC66 | UGD010596 | DKK08 | GNY95 | MS1350 | IT6342 | FGJ40 | HJR70
logistic_ranker,52316,KON169490,KON949061,2,3,medium,490,0,0.0,0,1,1232,LT-006,LT-006 | UGD010596 | KON949801 | GHP85 | KON948767 | UGD010586 | 0021780 | EN093012 | EN093013 | UGD010069
logistic_ranker,52325,IT16952,ΚΑ112783,2,1,rare,0,0,0.0,0,0,1303,DT760018963,DT760018963 | ΙΤ17253 | IT16951 | 176-09057 | GNY95 | IT9204 | UGD010596 | 262-3002 | MS0301Ryabinka | MS0503LyPM-07
logistic_ranker,52333,18/51072-DAKAR,18/51072-SX,2,19,popular,24,0,0.0,1,1,1142,GNY95,GNY95 | LT-006 | IT16951 | 16/81205 | DT10757 | 54886 | 0021780 | NQD4WD06-RED | GNY99 | HLH63
logistic_ranker,52340,DTTY37241,43574,2,6,medium,880,0,0.0,0,1,1300,5174-L,5174-L | 760018651-C | DT760018963 | 5174-P | IT9423 | 4-05967 | ΒΚΜ13918 | 4-06018-BU | 4-05966-GY | 5174-D
logistic_ranker,52378,448.1.589256,IT90147,3,65,popular,1,1,1.0,1,1,1317,IT90147,IT90147 | GNY95 | 0584711-GN | 348-17220 | IT14185 | 343-02144 | 334-80031 | 571-59204 | 54886 | 0584711-BU
logistic_ranker,52383,448.1.588294,448.1.589256,2,29,popular,50,0,0.0,1,1,1322,GNY95,GNY95 | 348-17220 | IT14185 | 343-02144 | GNY99 | 571-59204 | 54886 | MAP861311 | 334-80031 | IT14104
